x-axis,1,2,F1
second,Volt,Volt,Volt
-17.65000E-03,+1.10552763E+00,+683.41708E-03,+441.83350E-03
-17.62500E-03,+1.12562813E+00,+683.41708E-03,+451.87378E-03
-17.60000E-03,+1.16582913E+00,+683.41708E-03,+481.99463E-03
-17.57500E-03,+1.16582913E+00,+683.41708E-03,+492.03491E-03
-17.55000E-03,+1.18592964E+00,+663.31658E-03,+522.15576E-03
-17.52500E-03,+1.19597989E+00,+683.41708E-03,+502.07520E-03
-17.50000E-03,+1.16582913E+00,+683.41708E-03,+522.15576E-03
-17.47500E-03,+1.17587938E+00,+683.41708E-03,+522.15576E-03
-17.45000E-03,+1.20603014E+00,+663.31658E-03,+562.31689E-03
-17.42500E-03,+1.24623114E+00,+683.41708E-03,+582.39746E-03
-17.40000E-03,+1.24623114E+00,+683.41708E-03,+562.31689E-03
-17.37500E-03,+1.28643215E+00,+693.46733E-03,+592.43774E-03
-17.35000E-03,+1.26633164E+00,+683.41708E-03,+562.31689E-03
-17.32500E-03,+1.31658290E+00,+683.41708E-03,+602.47803E-03
-17.30000E-03,+1.32663315E+00,+723.61808E-03,+602.47803E-03
-17.27500E-03,+1.29648240E+00,+713.56783E-03,+612.51831E-03
-17.25000E-03,+1.32663315E+00,+683.41708E-03,+642.63916E-03
-17.22500E-03,+1.35678391E+00,+713.56783E-03,+642.63916E-03
-17.20000E-03,+1.36683416E+00,+723.61808E-03,+642.63916E-03
-17.17500E-03,+1.36683416E+00,+693.46733E-03,+682.80029E-03
-17.15000E-03,+1.38693466E+00,+723.61808E-03,+682.80029E-03
-17.12500E-03,+1.40703516E+00,+713.56783E-03,+672.76001E-03
-17.10000E-03,+1.40703516E+00,+723.61808E-03,+722.96143E-03
-17.07500E-03,+1.41708541E+00,+713.56783E-03,+692.84058E-03
-17.05000E-03,+1.40703516E+00,+723.61808E-03,+702.88086E-03
-17.02500E-03,+1.45728642E+00,+693.46733E-03,+763.12256E-03
-17.00000E-03,+1.44723617E+00,+723.61808E-03,+722.96143E-03
-16.97500E-03,+1.48743717E+00,+723.61808E-03,+793.24341E-03
-16.95000E-03,+1.46733667E+00,+723.61808E-03,+743.04199E-03
-16.92500E-03,+1.48743717E+00,+723.61808E-03,+763.12256E-03
-16.90000E-03,+1.52763817E+00,+763.81909E-03,+763.12256E-03
-16.87500E-03,+1.52763817E+00,+723.61808E-03,+773.16284E-03
-16.85000E-03,+1.54773868E+00,+723.61808E-03,+823.36426E-03
-16.82500E-03,+1.53768843E+00,+723.61808E-03,+803.28369E-03
-16.80000E-03,+1.52763817E+00,+723.61808E-03,+803.28369E-03
-16.77500E-03,+1.59798993E+00,+733.66833E-03,+843.44482E-03
-16.75000E-03,+1.58793968E+00,+743.71858E-03,+843.44482E-03
-16.72500E-03,+1.59798993E+00,+763.81909E-03,+843.44482E-03
-16.70000E-03,+1.60804018E+00,+763.81909E-03,+883.60596E-03
-16.67500E-03,+1.61809043E+00,+733.66833E-03,+883.60596E-03
-16.65000E-03,+1.60804018E+00,+763.81909E-03,+923.76709E-03
-16.62500E-03,+1.63819094E+00,+753.76884E-03,+903.68652E-03
-16.60000E-03,+1.68844219E+00,+763.81909E-03,+883.60596E-03
-16.57500E-03,+1.68844219E+00,+733.66833E-03,+923.76709E-03
-16.55000E-03,+1.68844219E+00,+763.81909E-03,+923.76709E-03
-16.52500E-03,+1.68844219E+00,+763.81909E-03,+953.88794E-03
-16.50000E-03,+1.72864320E+00,+763.81909E-03,+963.92822E-03
-16.47500E-03,+1.71859295E+00,+773.86934E-03,+963.92822E-03
-16.45000E-03,+1.72864320E+00,+763.81909E-03,+984.00879E-03
-16.42500E-03,+1.76884420E+00,+804.02009E-03,+963.92822E-03
-16.40000E-03,+1.76884420E+00,+763.81909E-03,+1.00408936E+00
-16.37500E-03,+1.79899496E+00,+763.81909E-03,+1.04425049E+00
-16.35000E-03,+1.80904521E+00,+743.71859E-03,+1.00408936E+00
-16.32500E-03,+1.79899496E+00,+793.96984E-03,+1.00408936E+00
-16.30000E-03,+1.80904521E+00,+804.02009E-03,+1.04425049E+00
-16.27500E-03,+1.81909546E+00,+804.02009E-03,+1.04425049E+00
-16.25000E-03,+1.84924621E+00,+783.91959E-03,+1.06433105E+00
-16.22500E-03,+1.84924621E+00,+793.96984E-03,+1.05429077E+00
-16.20000E-03,+1.88944722E+00,+763.81909E-03,+1.08441162E+00
-16.17500E-03,+1.84924621E+00,+804.02009E-03,+1.08441162E+00
-16.15000E-03,+1.88944722E+00,+804.02009E-03,+1.12457275E+00
-16.12500E-03,+1.91959797E+00,+773.86934E-03,+1.12457275E+00
